Data File,C:\Program Files\Biolog\OL_DC_23\PMX\Data_2019\03\_18-8961_Escherichia coli__2_37_PMX_438_3#1#2019_A_12B_23.oka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Set up Time,3/1/2019 3:23:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Position,12-B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate Type,PM2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strain Type,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strain Name,18-8961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-type,O45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-type,H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Host,Human,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strain Number,18-8961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hour,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,D01,D02,D03,D04,D05,D06,D07,D08,D09,D10,D11,D12,E01,E02,E03,E04,E05,E06,E07,E08,E09,E10,E11,E12,F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,F12,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12
0.0,32.0,24.0,20.0,18.0,17.0,11.0,11.0,11.0,12.0,16.0,16.0,48.0,24.0,21.0,11.0,11.0,26.0,11.0,11.0,11.0,24.0,11.0,11.0,22.0,21.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.0,19.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.0,29.0,18.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,25.0,23.0,15.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.0,28.0,20.0,11.0,14.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0,30.0,30.0,23.0,20.0,11.0,11.0,11.0,11.0,48.0,11.0,11.0,17.0
0.25,26.0,22.0,15.0,18.0,12.0,14.0,11.0,11.0,12.0,12.0,14.0,46.0,19.0,15.0,11.0,11.0,24.0,11.0,11.0,11.0,23.0,11.0,11.0,18.0,17.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.0,12.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,25.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,47.0,11.0,11.0,12.0
0.5,22.0,19.0,11.0,17.0,11.0,13.0,11.0,13.0,13.0,16.0,16.0,49.0,16.0,15.0,11.0,11.0,23.0,11.0,11.0,11.0,22.0,11.0,11.0,18.0,16.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.0,12.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.0,16.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,20.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,45.0,11.0,11.0,14.0
0.75,27.0,27.0,13.0,19.0,16.0,17.0,11.0,15.0,15.0,19.0,20.0,50.0,20.0,18.0,11.0,11.0,25.0,11.0,11.0,11.0,24.0,11.0,12.0,20.0,18.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0,17.0,14.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.0,20.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,25.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.0,12.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.0,13.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,45.0,11.0,13.0,15.0
1.0,21.0,19.0,11.0,17.0,12.0,14.0,11.0,14.0,12.0,19.0,17.0,50.0,17.0,16.0,11.0,11.0,24.0,11.0,11.0,11.0,21.0,11.0,11.0,18.0,14.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.0,20.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,20.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,45.0,11.0,11.0,13.0
1.25,25.0,20.0,13.0,17.0,12.0,15.0,11.0,15.0,11.0,17.0,19.0,50.0,16.0,14.0,11.0,11.0,23.0,11.0,11.0,11.0,20.0,11.0,11.0,17.0,16.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.0,12.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.0,21.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,21.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0,12.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,42.0,11.0,11.0,13.0
1.5,27.0,23.0,14.0,20.0,14.0,18.0,11.0,18.0,17.0,21.0,21.0,52.0,21.0,17.0,11.0,11.0,24.0,11.0,11.0,11.0,22.0,11.0,11.0,20.0,17.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0,15.0,13.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.0,21.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,24.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.0,13.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.0,13.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,44.0,11.0,14.0,16.0
1.75,28.0,23.0,16.0,20.0,15.0,18.0,11.0,16.0,16.0,21.0,25.0,55.0,22.0,20.0,11.0,11.0,27.0,11.0,11.0,11.0,22.0,11.0,12.0,20.0,15.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.0,14.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.0,23.0,11.0,11.0,11.0,15.0,11.0,11.0,11.0,11.0,11.0,11.0,25.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.0,14.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.0,13.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,41.0,11.0,11.0,16.0
2.0,31.0,23.0,18.0,23.0,17.0,29.0,13.0,20.0,19.0,23.0,27.0,57.0,29.0,22.0,11.0,11.0,24.0,11.0,11.0,11.0,20.0,11.0,13.0,21.0,18.0,11.0,11.0,12.0,11.0,11.0,11.0,11.0,11.0,18.0,11.0,16.0,14.0,11.0,11.0,11.0,11.0,11.0,19.0,11.0,11.0,11.0,11.0,18.0,25.0,11.0,11.0,11.0,22.0,11.0,11.0,11.0,11.0,11.0,11.0,24.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.0,15.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.0,17.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,43.0,11.0,13.0,18.0
2.25,38.0,31.0,26.0,33.0,22.0,40.0,22.0,28.0,29.0,36.0,37.0,64.0,38.0,29.0,11.0,16.0,31.0,11.0,11.0,13.0,24.0,11.0,17.0,23.0,28.0,13.0,11.0,19.0,12.0,11.0,13.0,15.0,14.0,25.0,18.0,18.0,25.0,11.0,14.0,11.0,11.0,11.0,29.0,11.0,11.0,13.0,11.0,19.0,27.0,11.0,11.0,11.0,33.0,11.0,11.0,11.0,11.0,11.0,11.0,30.0,11.0,11.0,19.0,11.0,11.0,11.0,11.0,11.0,11.0,16.0,11.0,20.0,21.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.0,20.0,22.0,16.0,13.0,11.0,11.0,11.0,11.0,11.0,44.0,11.0,14.0,26.0
2.5,43.0,29.0,32.0,37.0,31.0,48.0,26.0,32.0,34.0,39.0,41.0,68.0,42.0,27.0,11.0,20.0,34.0,12.0,16.0,20.0,24.0,12.0,20.0,21.0,35.0,17.0,18.0,23.0,19.0,15.0,17.0,18.0,20.0,28.0,23.0,19.0,32.0,11.0,14.0,11.0,12.0,11.0,36.0,12.0,11.0,14.0,11.0,21.0,29.0,11.0,11.0,11.0,36.0,11.0,11.0,11.0,11.0,11.0,11.0,35.0,12.0,14.0,25.0,11.0,11.0,14.0,11.0,11.0,11.0,21.0,11.0,24.0,25.0,17.0,11.0,11.0,11.0,11.0,11.0,13.0,11.0,11.0,20.0,21.0,25.0,21.0,16.0,11.0,12.0,11.0,11.0,13.0,45.0,11.0,15.0,30.0
2.75,47.0,30.0,34.0,39.0,36.0,54.0,30.0,38.0,38.0,43.0,43.0,73.0,45.0,30.0,11.0,25.0,40.0,15.0,18.0,22.0,22.0,11.0,24.0,23.0,39.0,20.0,21.0,26.0,23.0,19.0,18.0,19.0,22.0,34.0,24.0,16.0,36.0,11.0,18.0,11.0,17.0,11.0,38.0,14.0,11.0,16.0,11.0,21.0,28.0,11.0,15.0,11.0,42.0,11.0,11.0,11.0,11.0,11.0,11.0,36.0,11.0,19.0,30.0,11.0,13.0,18.0,12.0,11.0,11.0,23.0,11.0,27.0,28.0,21.0,12.0,11.0,11.0,11.0,11.0,16.0,11.0,11.0,22.0,23.0,28.0,24.0,20.0,11.0,13.0,11.0,13.0,12.0,43.0,11.0,11.0,33.0
3.0,47.0,28.0,37.0,37.0,40.0,62.0,32.0,43.0,43.0,47.0,45.0,77.0,49.0,30.0,11.0,28.0,44.0,19.0,19.0,19.0,22.0,12.0,24.0,18.0,43.0,20.0,25.0,30.0,32.0,23.0,22.0,19.0,25.0,34.0,27.0,16.0,41.0,12.0,22.0,11.0,17.0,11.0,42.0,21.0,11.0,15.0,11.0,22.0,26.0,11.0,14.0,15.0,46.0,11.0,11.0,11.0,14.0,11.0,11.0,39.0,12.0,24.0,31.0,11.0,21.0,21.0,15.0,11.0,11.0,25.0,11.0,30.0,27.0,24.0,11.0,11.0,11.0,11.0,11.0,20.0,11.0,11.0,22.0,25.0,31.0,21.0,23.0,11.0,13.0,11.0,14.0,13.0,45.0,11.0,14.0,37.0
3.25,50.0,32.0,39.0,40.0,42.0,72.0,35.0,47.0,44.0,51.0,46.0,81.0,56.0,34.0,11.0,29.0,51.0,20.0,23.0,23.0,23.0,14.0,28.0,24.0,46.0,22.0,30.0,36.0,35.0,28.0,25.0,21.0,34.0,36.0,31.0,18.0,49.0,14.0,27.0,15.0,21.0,11.0,49.0,25.0,11.0,16.0,11.0,24.0,28.0,11.0,13.0,15.0,50.0,11.0,11.0,12.0,16.0,11.0,11.0,43.0,14.0,26.0,35.0,15.0,26.0,22.0,17.0,14.0,11.0,31.0,11.0,37.0,29.0,30.0,14.0,12.0,13.0,11.0,11.0,24.0,11.0,11.0,26.0,28.0,33.0,25.0,26.0,11.0,14.0,11.0,15.0,13.0,45.0,11.0,15.0,41.0
3.5,46.0,30.0,40.0,38.0,43.0,78.0,35.0,47.0,44.0,49.0,47.0,82.0,57.0,34.0,11.0,29.0,50.0,20.0,22.0,21.0,24.0,14.0,27.0,22.0,43.0,22.0,30.0,35.0,37.0,27.0,27.0,19.0,34.0,36.0,29.0,16.0,53.0,13.0,24.0,19.0,19.0,11.0,50.0,26.0,11.0,17.0,11.0,23.0,28.0,12.0,13.0,16.0,55.0,11.0,11.0,11.0,17.0,11.0,11.0,44.0,20.0,26.0,39.0,14.0,28.0,22.0,17.0,17.0,11.0,31.0,11.0,38.0,28.0,31.0,11.0,12.0,11.0,11.0,11.0,23.0,11.0,11.0,25.0,28.0,35.0,23.0,25.0,11.0,14.0,11.0,18.0,17.0,46.0,11.0,15.0,42.0
3.75,49.0,31.0,39.0,40.0,43.0,87.0,34.0,47.0,43.0,51.0,47.0,82.0,63.0,38.0,11.0,30.0,51.0,22.0,24.0,23.0,23.0,16.0,27.0,24.0,45.0,24.0,32.0,37.0,38.0,29.0,33.0,22.0,38.0,36.0,32.0,21.0,54.0,17.0,27.0,22.0,21.0,15.0,52.0,28.0,11.0,19.0,11.0,26.0,28.0,15.0,15.0,18.0,60.0,11.0,12.0,11.0,14.0,11.0,11.0,43.0,21.0,26.0,39.0,18.0,30.0,24.0,18.0,17.0,11.0,35.0,13.0,41.0,30.0,35.0,13.0,15.0,16.0,11.0,11.0,25.0,11.0,11.0,28.0,29.0,35.0,22.0,25.0,11.0,16.0,11.0,19.0,16.0,50.0,12.0,19.0,44.0
4.0,52.0,32.0,38.0,40.0,44.0,93.0,33.0,47.0,43.0,49.0,45.0,81.0,65.0,38.0,11.0,30.0,51.0,20.0,22.0,23.0,23.0,13.0,26.0,24.0,47.0,22.0,30.0,35.0,35.0,26.0,34.0,20.0,39.0,37.0,30.0,15.0,58.0,14.0,24.0,23.0,19.0,18.0,54.0,24.0,11.0,16.0,11.0,23.0,30.0,15.0,15.0,16.0,64.0,11.0,11.0,11.0,17.0,11.0,11.0,46.0,25.0,29.0,42.0,16.0,29.0,24.0,16.0,15.0,15.0,32.0,11.0,41.0,28.0,38.0,13.0,13.0,15.0,11.0,11.0,23.0,11.0,11.0,23.0,29.0,38.0,26.0,24.0,11.0,17.0,11.0,17.0,16.0,45.0,11.0,16.0,47.0
4.25,54.0,36.0,41.0,44.0,44.0,99.0,35.0,48.0,45.0,52.0,48.0,84.0,73.0,43.0,11.0,30.0,50.0,23.0,21.0,25.0,26.0,16.0,27.0,30.0,49.0,24.0,31.0,37.0,38.0,29.0,38.0,24.0,42.0,36.0,30.0,18.0,64.0,18.0,26.0,24.0,18.0,24.0,54.0,27.0,11.0,16.0,11.0,26.0,30.0,17.0,16.0,18.0,68.0,11.0,12.0,11.0,14.0,11.0,11.0,44.0,28.0,27.0,44.0,15.0,29.0,24.0,18.0,14.0,20.0,33.0,12.0,40.0,29.0,37.0,14.0,12.0,14.0,11.0,11.0,23.0,11.0,11.0,25.0,27.0,38.0,27.0,26.0,12.0,17.0,11.0,16.0,16.0,47.0,13.0,16.0,51.0
4.5,50.0,31.0,39.0,42.0,43.0,103.0,34.0,47.0,45.0,51.0,48.0,83.0,74.0,43.0,11.0,30.0,52.0,21.0,23.0,22.0,24.0,17.0,27.0,39.0,46.0,23.0,30.0,36.0,37.0,29.0,42.0,21.0,45.0,36.0,28.0,20.0,66.0,16.0,28.0,23.0,17.0,27.0,53.0,27.0,11.0,18.0,11.0,26.0,30.0,16.0,15.0,17.0,72.0,11.0,11.0,11.0,16.0,11.0,11.0,46.0,33.0,26.0,46.0,16.0,30.0,23.0,17.0,14.0,24.0,32.0,13.0,39.0,26.0,34.0,14.0,12.0,15.0,11.0,11.0,23.0,11.0,11.0,26.0,31.0,35.0,21.0,22.0,11.0,16.0,11.0,17.0,15.0,49.0,13.0,17.0,51.0
4.75,51.0,32.0,38.0,40.0,42.0,107.0,36.0,50.0,45.0,53.0,50.0,88.0,78.0,45.0,11.0,30.0,51.0,23.0,24.0,24.0,23.0,19.0,28.0,46.0,46.0,22.0,31.0,38.0,39.0,30.0,46.0,21.0,48.0,37.0,29.0,19.0,70.0,15.0,25.0,23.0,21.0,33.0,56.0,27.0,13.0,18.0,11.0,27.0,30.0,15.0,17.0,18.0,78.0,11.0,12.0,11.0,18.0,11.0,11.0,48.0,35.0,30.0,53.0,17.0,31.0,24.0,17.0,16.0,27.0,33.0,13.0,42.0,27.0,38.0,13.0,14.0,16.0,11.0,11.0,25.0,11.0,11.0,27.0,33.0,39.0,26.0,24.0,11.0,17.0,11.0,20.0,18.0,52.0,12.0,18.0,51.0
5.0,51.0,31.0,39.0,42.0,44.0,110.0,37.0,50.0,45.0,54.0,49.0,89.0,80.0,48.0,11.0,30.0,51.0,24.0,23.0,24.0,25.0,17.0,27.0,56.0,45.0,25.0,32.0,36.0,37.0,31.0,48.0,23.0,48.0,39.0,31.0,19.0,75.0,18.0,27.0,24.0,19.0,35.0,56.0,27.0,11.0,20.0,11.0,29.0,31.0,17.0,15.0,17.0,82.0,11.0,12.0,11.0,19.0,11.0,11.0,45.0,38.0,27.0,55.0,17.0,30.0,27.0,17.0,14.0,29.0,34.0,14.0,42.0,29.0,39.0,14.0,15.0,15.0,11.0,11.0,26.0,11.0,11.0,27.0,33.0,38.0,24.0,25.0,11.0,16.0,11.0,18.0,17.0,49.0,14.0,21.0,49.0
5.25,56.0,37.0,41.0,46.0,48.0,117.0,38.0,51.0,47.0,55.0,48.0,89.0,89.0,52.0,12.0,33.0,55.0,27.0,25.0,27.0,26.0,19.0,31.0,64.0,48.0,26.0,32.0,39.0,41.0,33.0,56.0,24.0,56.0,38.0,34.0,25.0,81.0,19.0,31.0,30.0,21.0,39.0,59.0,30.0,12.0,22.0,11.0,28.0,32.0,20.0,18.0,21.0,90.0,11.0,16.0,15.0,18.0,12.0,11.0,47.0,44.0,30.0,60.0,17.0,32.0,28.0,21.0,18.0,34.0,36.0,16.0,43.0,31.0,40.0,17.0,19.0,19.0,11.0,11.0,28.0,11.0,11.0,30.0,34.0,40.0,28.0,28.0,15.0,20.0,11.0,19.0,19.0,52.0,17.0,22.0,47.0
5.5,53.0,35.0,41.0,46.0,47.0,118.0,36.0,54.0,46.0,55.0,49.0,90.0,93.0,54.0,11.0,32.0,55.0,27.0,25.0,26.0,28.0,20.0,31.0,71.0,49.0,25.0,34.0,39.0,39.0,31.0,58.0,24.0,56.0,39.0,33.0,24.0,85.0,19.0,29.0,27.0,23.0,39.0,60.0,30.0,15.0,22.0,11.0,30.0,33.0,21.0,17.0,20.0,95.0,11.0,14.0,15.0,18.0,11.0,11.0,50.0,49.0,30.0,65.0,17.0,33.0,26.0,20.0,18.0,36.0,37.0,15.0,43.0,27.0,41.0,15.0,17.0,18.0,11.0,11.0,29.0,11.0,11.0,29.0,36.0,42.0,27.0,26.0,12.0,20.0,11.0,19.0,18.0,51.0,18.0,23.0,44.0
5.75,53.0,34.0,40.0,43.0,46.0,119.0,37.0,53.0,48.0,55.0,49.0,88.0,94.0,55.0,11.0,33.0,54.0,24.0,24.0,25.0,25.0,19.0,30.0,73.0,48.0,25.0,33.0,38.0,39.0,31.0,57.0,22.0,58.0,39.0,31.0,22.0,88.0,18.0,26.0,25.0,20.0,35.0,59.0,28.0,13.0,20.0,11.0,29.0,30.0,17.0,18.0,18.0,97.0,11.0,12.0,12.0,18.0,11.0,11.0,47.0,50.0,28.0,65.0,17.0,31.0,26.0,18.0,16.0,35.0,33.0,15.0,40.0,29.0,38.0,13.0,16.0,19.0,11.0,11.0,26.0,11.0,11.0,27.0,33.0,38.0,26.0,26.0,13.0,20.0,11.0,19.0,18.0,50.0,16.0,21.0,44.0
6.0,51.0,33.0,38.0,42.0,45.0,120.0,38.0,51.0,47.0,52.0,49.0,89.0,99.0,55.0,13.0,31.0,54.0,26.0,25.0,24.0,26.0,19.0,29.0,76.0,47.0,26.0,33.0,39.0,39.0,32.0,70.0,22.0,60.0,39.0,30.0,26.0,93.0,20.0,29.0,27.0,22.0,38.0,57.0,28.0,14.0,21.0,11.0,30.0,31.0,19.0,17.0,19.0,100.0,11.0,13.0,12.0,17.0,11.0,11.0,48.0,52.0,28.0,70.0,19.0,32.0,25.0,18.0,17.0,34.0,31.0,16.0,42.0,29.0,39.0,13.0,16.0,20.0,11.0,11.0,27.0,11.0,11.0,29.0,35.0,40.0,25.0,26.0,14.0,18.0,11.0,19.0,19.0,53.0,18.0,19.0,42.0
6.25,52.0,35.0,41.0,47.0,45.0,125.0,39.0,52.0,48.0,55.0,49.0,89.0,104.0,59.0,14.0,33.0,54.0,25.0,26.0,26.0,28.0,20.0,31.0,82.0,49.0,27.0,33.0,40.0,41.0,33.0,74.0,25.0,67.0,41.0,32.0,33.0,99.0,21.0,29.0,28.0,21.0,38.0,60.0,31.0,14.0,21.0,11.0,30.0,33.0,21.0,18.0,20.0,106.0,11.0,14.0,14.0,21.0,12.0,11.0,49.0,58.0,29.0,76.0,19.0,34.0,27.0,20.0,17.0,35.0,37.0,17.0,43.0,32.0,40.0,15.0,16.0,20.0,11.0,11.0,27.0,11.0,11.0,30.0,36.0,40.0,27.0,27.0,14.0,21.0,11.0,19.0,20.0,54.0,20.0,24.0,43.0
6.5,53.0,33.0,41.0,44.0,44.0,126.0,36.0,51.0,47.0,54.0,49.0,89.0,109.0,59.0,13.0,32.0,55.0,27.0,25.0,26.0,27.0,20.0,31.0,86.0,49.0,27.0,35.0,37.0,42.0,31.0,76.0,24.0,69.0,40.0,33.0,38.0,100.0,21.0,29.0,26.0,21.0,38.0,58.0,30.0,14.0,21.0,11.0,29.0,33.0,20.0,18.0,21.0,109.0,11.0,14.0,16.0,21.0,11.0,11.0,49.0,60.0,29.0,79.0,18.0,33.0,26.0,20.0,16.0,38.0,35.0,19.0,44.0,33.0,39.0,17.0,16.0,20.0,11.0,11.0,27.0,11.0,11.0,28.0,37.0,40.0,26.0,26.0,14.0,22.0,11.0,20.0,20.0,54.0,18.0,23.0,44.0
6.75,52.0,31.0,39.0,42.0,46.0,127.0,37.0,52.0,44.0,55.0,50.0,87.0,110.0,61.0,17.0,33.0,54.0,25.0,25.0,25.0,27.0,18.0,31.0,88.0,48.0,27.0,34.0,39.0,40.0,32.0,79.0,24.0,71.0,40.0,32.0,41.0,106.0,17.0,29.0,26.0,21.0,38.0,60.0,28.0,14.0,21.0,11.0,29.0,32.0,18.0,17.0,18.0,116.0,11.0,13.0,15.0,25.0,11.0,11.0,49.0,63.0,29.0,82.0,19.0,32.0,28.0,20.0,18.0,35.0,34.0,16.0,43.0,29.0,40.0,16.0,16.0,22.0,11.0,11.0,27.0,11.0,11.0,28.0,36.0,43.0,26.0,26.0,14.0,21.0,11.0,18.0,23.0,56.0,17.0,24.0,42.0
7.0,56.0,39.0,43.0,45.0,48.0,127.0,36.0,49.0,41.0,51.0,46.0,85.0,117.0,64.0,20.0,32.0,55.0,25.0,28.0,24.0,27.0,16.0,28.0,90.0,53.0,29.0,35.0,39.0,43.0,33.0,85.0,25.0,74.0,38.0,31.0,40.0,112.0,21.0,31.0,28.0,24.0,38.0,60.0,28.0,14.0,20.0,11.0,27.0,34.0,25.0,20.0,23.0,120.0,11.0,16.0,16.0,28.0,11.0,11.0,48.0,68.0,33.0,90.0,22.0,32.0,31.0,22.0,18.0,37.0,34.0,16.0,43.0,36.0,47.0,19.0,19.0,23.0,11.0,11.0,30.0,11.0,11.0,27.0,33.0,50.0,37.0,33.0,25.0,21.0,11.0,22.0,23.0,54.0,13.0,17.0,40.0
